#Do the encryption tests first
#crypt block  key   keyvalue                                                          test_text                         correct_result
e      32     64    1918111009080100                                                  65656877                          c69be9bb
e      48     72    1211100a0908020100                                                6120676e696c                      dae5ac292cac
e      48     96    1a19181211100a0908020100                                          72696320646e                      6e06a5acf156
e      64     96    131211100b0a090803020100                                          6f7220676e696c63                  5ca2e27f111a8fc8
e      64     128   1b1a1918131211100b0a090803020100                                  656b696c20646e75                  44c8fc20b9dfa07a
e      96     96    0d0c0b0a0908050403020100                                          2072616c6c69702065687420          602807a462b469063d8ff082
e      96     144   1514131211100d0c0b0a0908050403020100                              74616874207473756420666f          ecad1c6c451e3f59c5db1ae9
e      128    128   0f0e0d0c0b0a09080706050403020100                                  63736564207372656c6c657661727420  49681b1e1e54fe3f65aa832af84e0bbc 
e      128    192   17161514131211100f0e0d0c0b0a09080706050403020100                  206572656874206e6568772065626972  c4ac61effcdc0d4f6c9c8d6e2597b85b
e      128    256   1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100  74206e69206d6f6f6d69732061207369  8d2b5579afc8a3a03bf72a87efe7b868
#the decryption
d      32     64    4d837db932f2fa04                                                  c69be9bb                          65656877
d      48     72    3da6938638f8629fd8                                                dae5ac292cac                      6120676e696c
d      48     96    9cd782939aa8fbc61a8c0eda                                          6e06a5acf156                      72696320646e
d      64     96    db7b4062c0201c18dc516b46                                          5ca2e27f111a8fc8                  6f7220676e696c63
d      64     128   e9bf37828222a4cfa50c72bd0d515fd6                                  44c8fc20b9dfa07a                  656b696c20646e75
d      96     96    c833352181c5d587c9068df1                                          602807a462b469063d8ff082          2072616c6c69702065687420
d      96     144   62d50a663140d7493fd80d79e70f1039236d                              ecad1c6c451e3f59c5db1ae9          74616874207473756420666f
d      128    128   6413494fda72360d1cb8547cd58c4df9                                  49681b1e1e54fe3f65aa832af84e0bbc  63736564207372656c6c657661727420 
d      128    192   9c13d022fdabdf33299dff4c305ed07518b6f7373a220d15                  c4ac61effcdc0d4f6c9c8d6e2597b85b  206572656874206e6568772065626972
d      128    256   8c1d81748d41ef42a38617af27103908e1ef10c9b617c612317aa50ee85edc24  8d2b5579afc8a3a03bf72a87efe7b868  74206e69206d6f6f6d69732061207369


